,level_0,index,Unnamed: 0,company_name,number_reviews,search_city,star_rating,summary,title,website,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page,high_paid,is_high_level,ds_in_name,ml_in_name,lab_in_name,analyst_in_name,engineer_in_name,dev_in_name,tech_in_name,rating_cat,expensive_city,analysis,analytics,company,data,experience,health,learning,looking,machine,public,research,scientist,scientists,team,work,analyst_tit,data_tit,developer_tit,engineer_tit,engineering_tit,lead_tit,learning_tit,machine_tit,manager_tit,quantitative_tit,research_tit,science_tit,scientist_tit,senior_tit,software_tit
74,74,1489,6383,Averity,0.0,"New York, NY",,"Knowledge in advanced analytics methods, including statistical methods and machine learning algorithms. We provide data driven solutions for a wide range of...","Vice President, Data Scientist - Leading International Advis...",http://www.indeed.com/rc/clk?jk=d9897eebbb652486&fccid=39407476605079e0,yearly,175000.0,0,19-24 days ago,1,27,1,1,1,0,0,0,0,0,0,no_rating,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
75,75,1491,6385,Averity,0.0,"New York, NY",,Our Customer & Business Analytics team is looking for a Senior Statistician to help provide actionable insights into various aspects of our company to drive...,Sr. Statistician for Fortune 500 Company,http://www.indeed.com/rc/clk?jk=c96a764cdfd6b161&fccid=39407476605079e0,yearly,110000.0,0,7-12 days ago,1,27,1,1,0,0,0,0,0,0,0,no_rating,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,1507,6406,Averity,0.0,"New York, NY",,We are looking for a Senior Data Scientist to provide advanced analytics to our company's Operational Analytics team....,"Senior Data Scientist for Innovative, Top-Ranked Global Comp...",http://www.indeed.com/rc/clk?jk=355b8407511e7b47&fccid=39407476605079e0,yearly,110000.0,0,in the last day,1,28,1,1,1,0,0,0,0,0,0,no_rating,1,0,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
77,77,1519,6428,DEPARTMENT OF FINANCE,69.0,"New York, NY",4.25,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...",Policy Data Analyst,http://www.indeed.com/rc/clk?jk=cb1c01bafee40123&fccid=e3dc8897b9b29a8b,yearly,74119.5,0,more than 30 days ago,0,30,0,0,0,0,0,1,0,0,0,high_rating,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,1530,6444,Averity,0.0,"New York, NY",,"As a Data Scientist in our Operational Analytics team, you will develop and implement advanced analytics models, perform ad-hoc analyses and create solid...",Mid-level Data Scientist For Top Travel Company,http://www.indeed.com/rc/clk?jk=fb712644e1f368e1&fccid=39407476605079e0,yearly,100000.0,0,25-30 days ago,1,31,0,0,1,0,0,0,0,0,0,no_rating,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
79,79,1535,6449,Averity,0.0,"New York, NY",,"Knowledge in advanced analytics methods, including statistical methods and machine learning algorithms. By using statistical and machine learning techniques,...",Lead Data Scientist - Top Data Consultancy,http://www.indeed.com/rc/clk?jk=05662e7f624db198&fccid=39407476605079e0,yearly,140000.0,0,19-24 days ago,1,31,1,1,1,0,0,0,0,0,0,no_rating,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
80,80,1540,6459,Selby Jennings,0.0,"New York, NY",,"5+ years of experience with machine learning/self-learning techniques and algorithms either with a buy-side organization, within a ML group at a top tech firm,...",Quantitative Researcher – Machine Learning,http://www.indeed.com/rc/clk?jk=7a32ef797119c34d&fccid=e46dcf251ad893cd,yearly,225000.0,0,1-6 days ago,1,32,1,0,0,1,0,0,0,0,0,no_rating,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
81,81,1545,6464,Averity,0.0,"New York, NY",,"Our data science needs are growing quickly, and we are looking to bring on experienced, smart data scientists excited about machine learning and business-minded...",Senior Data Scientist,http://www.indeed.com/rc/clk?jk=bb216e374c5ef51a&fccid=39407476605079e0,yearly,150000.0,0,more than 30 days ago,1,32,1,1,1,0,0,0,0,0,0,no_rating,1,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
82,82,1548,6471,Averity,0.0,"New York, NY",,"Your work will be focused on predictive and prescriptive analytics, with a strong emphasis on model building and machine learning....",Lead Data Scientist (New Jersey),http://www.indeed.com/rc/clk?jk=16a034e11f2ce1d8&fccid=39407476605079e0,yearly,150000.0,0,19-24 days ago,1,33,1,1,1,0,0,0,0,0,0,no_rating,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
83,83,1557,6480,HOUSING PRESERVATION & DVLPMNT,0.0,"New York, NY",,"S/he will process, manage, and analyze large complex datasets to ensure the highest standards of data quality and integrity....",Technical Researcher,http://www.indeed.com/rc/clk?jk=616a55325ea13e10&fccid=5279de2919340ff0,yearly,70286.0,0,13-18 days ago,1,33,0,0,0,0,0,0,0,0,0,no_rating,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
